Codice,Nome,Descrizione,Prezzo,Link Foto,Disponibilità
01-SSC-1221,"SonicWall Gateway Anti-malware, Intrusion Prevention and Application Control for NSa 9450 - 2 Year - 01-SSC-1221",Application Intelligence & Control | Ultimate Scalability & Performance | Simplified Deployment & Management | Integrated Deep Packet Inspection Technology | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-1221,15128.73,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-0408,SonicWall 24X7 Support for NSa 9450 - 2 Year - 01-SSC-0408,Telephone/Email/Web-based Support for 24x7 technical assistance | Software/Firmware Updates for all software and firmware updates and upgrades | Hardware Replacement Advance Exchange for replacement of defective hardware | Support Tools for access to SonicWall's electronic support tools | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-0408,16921.4,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-0039,SonicWall Advanced Gateway Security Suite Bundle for NSa 9250 - 2 Year - 01-SSC-0039,Service Length: 2 Year License | Manufacturer Part #: 01-SSC-0039,35033.94,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-0141,SonicWall Capture Advanced Threat Protection for NSa 9250 - 2 Year - 01-SSC-0141,Multi-engine advanced threat analysis | Real-Time Deep Memory Inspection (RTDMI) | Broad File Type Analysis | Block Until Verdict | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-0141,11298.45,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-0332,SonicWall Content Filtering Service Premium Business Edition for NSa 9250 - 2 Year - 01-SSC-0332,Granular content filtering | Dynamically updated rating architecture | Regulatory reporting & compliance | Easy-to-use Web-based management | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-0332,13558.13,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-0344,"SonicWall Gateway Anti-malware, Intrusion Prevention and Application Control for NSa 9250 - 2 Year - 01-SSC-0344",Application Intelligence & Control | Ultimate Scalability & Performance | Simplified Deployment & Management | Integrated Deep Packet Inspection Technology | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-0344,11618.6,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-0033,SonicWall 24X7 Support for NSa 9250 - 2 Year - 01-SSC-0033,Telephone/Email/Web-based Support for 24x7 technical assistance | Software/Firmware Updates for all software and firmware updates and upgrades | Hardware Replacement Advance Exchange for replacement of defective hardware | Support Tools for access to SonicWall's electronic support tools | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-0033,12997.59,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-8763,SonicWall Advanced Gateway Security Suite Bundle for NSa 6650 - 2 Year - 01-SSC-8763,Service Length: 2 Year License | Manufacturer Part #: 01-SSC-8763,28671.78,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-8931,SonicWall Capture Advanced Threat Protection for NSa 6650 - 2 Year - 01-SSC-8931,Multi-engine advanced threat analysis | Real-Time Deep Memory Inspection (RTDMI) | Broad File Type Analysis | Block Until Verdict | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-8931,9248.96,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-8973,SonicWall Content Filtering Service Premium Business Edition for NSa 6650 - 2 Year - 01-SSC-8973,Granular content filtering | Dynamically updated rating architecture | Regulatory reporting & compliance | Easy-to-use Web-based management | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-8973,11098.75,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-8980,"SonicWall Gateway Anti-malware, Intrusion Prevention and Application Control for NSa 6650 - 2 Year - 01-SSC-8980",Application Intelligence & Control | Ultimate Scalability & Performance | Simplified Deployment & Management | Integrated Deep Packet Inspection Technology | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-8980,9507.22,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-8664,SonicWall 24X7 Support for NSa 6650 - 2 Year - 01-SSC-8664,Telephone/Email/Web-based Support for 24x7 technical assistance | Software/Firmware Updates for all software and firmware updates and upgrades | Hardware Replacement Advance Exchange for replacement of defective hardware | Support Tools for access to SonicWall's electronic support tools | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-8664,10636.31,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-9132,SonicWall Comprehensive Anti-spam Service for NSa 6650 - 2 Year - 01-SSC-9132,Operates with any email server which accepts inbound SMTP messages | Advanced Reputation Management (ARM) | LDAP integration & Adversarial Bayesian filtering | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-9132,17287.78,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-3681,SonicWall Capture Advanced Threat Protection for NSa 5650 - 2 Year - 01-SSC-3681,Multi-engine advanced threat analysis | Real-Time Deep Memory Inspection (RTDMI) | Broad File Type Analysis | Block Until Verdict | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-3681,4431.79,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-3693,SonicWall Content Filtering Service Premium Business Edition for NSa 5650 - 2 Year - 01-SSC-3693,Granular content filtering | Dynamically updated rating architecture | Regulatory reporting & compliance | Easy-to-use Web-based management | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-3693,5316.41,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-3699,"SonicWall Gateway Anti-malware, Intrusion Prevention and Application Control for NSa 5650 - 2 Year - 01-SSC-3699",Application Intelligence & Control | Ultimate Scalability & Performance | Simplified Deployment & Management | Integrated Deep Packet Inspection Technology | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-3699,4554.99,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-3661,SonicWall 24X7 Support for NSa 5650 - 2 Year - 01-SSC-3661,Telephone/Email/Web-based Support for 24x7 technical assistance | Software/Firmware Updates for all software and firmware updates and upgrades | Hardware Replacement Advance Exchange for replacement of defective hardware | Support Tools for access to SonicWall's electronic support tools | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-3661,4633.25,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-4069,SonicWall Comprehensive Anti-spam Service for NSa 5650 - 2 Year - 01-SSC-4069,Operates with any email server which accepts inbound SMTP messages | Advanced Reputation Management (ARM) | LDAP integration & Adversarial Bayesian filtering | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-4069,8863.59,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-3572,SonicWall Capture Advanced Threat Protection for NSa 4650 - 2 Year - 01-SSC-3572,Multi-engine advanced threat analysis | Real-Time Deep Memory Inspection (RTDMI) | Broad File Type Analysis | Block Until Verdict | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-3572,2793.96,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-3584,SonicWall Content Filtering Service Premium Business Edition for NSa 4650 - 2 Year - 01-SSC-3584,Granular content filtering | Dynamically updated rating architecture | Regulatory reporting & compliance | Easy-to-use Web-based management | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-3584,3352.75,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-3590,"SonicWall Gateway Anti-malware, Intrusion Prevention and Application Control for NSa 4650 - 2 Year - 01-SSC-3590",Application Intelligence & Control | Ultimate Scalability & Performance | Simplified Deployment & Management | Integrated Deep Packet Inspection Technology | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-3590,2876.0,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-3488,SonicWall 24X7 Support for NSa 4650 - 2 Year - 01-SSC-3488,Telephone/Email/Web-based Support for 24x7 technical assistance | Software/Firmware Updates for all software and firmware updates and upgrades | Hardware Replacement Advance Exchange for replacement of defective hardware | Support Tools for access to SonicWall's electronic support tools | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-3488,3217.87,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-4063,SonicWall Comprehensive Anti-spam Service for NSa 4650 - 2 Year - 01-SSC-4063,Operates with any email server which accepts inbound SMTP messages | Advanced Reputation Management (ARM) | LDAP integration & Adversarial Bayesian filtering | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-4063,5597.54,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
02-SSC-1780,SonicWall Capture Advanced Threat Protection for TZ350 SERIES - 2 Year - 02-SSC-1780,Multi-engine advanced threat analysis | Real-Time Deep Memory Inspection (RTDMI) | Broad File Type Analysis | Block Until Verdict | Service Length: 2 Year License | Manufacturer Part #: 02-SSC-1780,508.06,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
02-SSC-1810,SonicWall Comprehensive Anti-spam Service for SONICWALL TZ350 SERIES - 2 Year - 02-SSC-1810,Operates with any email server which accepts inbound SMTP messages | Advanced Reputation Management (ARM) | LDAP integration & Adversarial Bayesian filtering | Service Length: 2 Year License | Manufacturer Part #: 02-SSC-1810,554.5,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7427,SonicWall Email Encryption Service - 25 User - 1 Year - 01-SSC-7427,"Recommended for up to 25 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7427",315.0,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7428,SonicWall Email Encryption Service - 25 User - 2 Year - 01-SSC-7428,"Recommended for up to 25 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7428",535.5,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7429,SonicWall Email Encryption Service - 25 User - 3 Year - 01-SSC-7429,"Recommended for up to 25 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7429",756.0,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7440,SonicWall Email Encryption Service - 50 User - 1 Year - 01-SSC-7440,"Recommended for up to 50 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7440",612.0,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7441,SonicWall Email Encryption Service - 50 User - 2 Year - 01-SSC-7441,"Recommended for up to 50 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7441",1039.5,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7442,SonicWall Email Encryption Service - 50 User - 3 Year - 01-SSC-7442,"Recommended for up to 50 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7442",1467.9,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7443,SonicWall Email Encryption Service - 100 User - 1 Year - 01-SSC-7443,"Recommended for Up to 100 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7443",1187.1,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7444,SonicWall Email Encryption Service - 100 User - 2 Year - 01-SSC-7444,"Recommended for Up to 100 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7444",2017.8,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7445,SonicWall Email Encryption Service - 100 User - 3 Year - 01-SSC-7445,"Recommended for Up to 100 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7445",2848.5,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7446,SonicWall Email Encryption Service - 250 User - 1 Year - 01-SSC-7446,"Recommended for Up to 250 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7446",2663.1,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7447,SonicWall Email Encryption Service - 250 User - 2 Year - 01-SSC-7447,"Recommended for Up to 250 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7447",4527.0,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7448,SonicWall Email Encryption Service - 250 User - 3 Year - 01-SSC-7448,"Recommended for Up to 250 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7448",6391.8,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7468,SonicWall Email Encryption Service - 500 User - 1 Year - 01-SSC-7468,"Recommended for Up to 500 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7468",4959.9,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7469,SonicWall Email Encryption Service - 500 User - 2 Year - 01-SSC-7469,"Recommended for Up to 500 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7469",8432.1,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7470,SonicWall Email Encryption Service - 500 User - 3 Year - 01-SSC-7470,"Recommended for Up to 500 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7470",11903.4,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7593,SonicWall Email Encryption Service - 750 User - 1 Year - 01-SSC-7593,"Recommended for Up to 750 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7593",6872.4,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7594,SonicWall Email Encryption Service - 750 User - 2 Year - 01-SSC-7594,"Recommended for Up to 750 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7594",11683.8,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7595,SonicWall Email Encryption Service - 750 User - 3 Year - 01-SSC-7595,"Recommended for Up to 750 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7595",16494.3,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7471,SonicWall Email Encryption Service - 1000 User - 1 Year - 01-SSC-7471,"Recommended for Up to 1000 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7471",8865.9,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7472,SonicWall Email Encryption Service - 1000 User - 2 Year - 01-SSC-7472,"Recommended for Up to 1000 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7472",15072.3,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7473,SonicWall Email Encryption Service - 1000 User - 3 Year - 01-SSC-7473,"Recommended for Up to 1000 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7473",21277.8,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7474,SonicWall Email Encryption Service - 2000 User - 1 Year - 01-SSC-7474,"Recommended for Up to 2000 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7474",17273.7,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7475,SonicWall Email Encryption Service - 2000 User - 2 Year - 01-SSC-7475,"Recommended for Up to 2000 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7475",29365.2,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
01-SSC-7476,SonicWall Email Encryption Service - 2000 User - 3 Year - 01-SSC-7476,"Recommended for Up to 2000 Users | Record ID matching scans for predefined social security numbers, bank routing numbers, or credit card numbers | Set and enforce pre-defined policies for common compliance setups | Email archiving for inbound & outbound messages | Monitor & report on compliance-related email traffic with convenient Compliance Reporting | Manufacturer Part #: 01-SSC-7476",41456.7,https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Prodotto non disponibile
